"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"P2";"Socket_Strip_Arduino_1x08";1;"Power";;;
2;"P8";"Socket_Strip_Arduino_1x06";1;"Analog";;;
3;"P1";"Socket_Strip_Arduino_1x10";1;"Digital";;;
4;"P7";"Socket_Strip_Arduino_1x08";1;"Digital";;;
5;"P3,P4,P5,P6";"Arduino_1pin";4;"CONN_01X01";;;
6;"C4,C1";"CP_Elec_3x5.3";2;"10uF/16V";;;
7;"C10,C9,C7,C8";"C_1825_4564Metric";4;"22pF";;;
8;"U4,U5";"SOIC-18W_7.5x11.6mm_P1.27mm";2;"MCP2515-xSO";;;
9;"C5,C11,C3,C2,C6";"C_1825_4564Metric";5;"0.1uF";;;
10;"U1,U2";"SOIC-8_3.9x4.9mm_P1.27mm";2;"TJA1051T-3";;;
11;"R5";"R_2010_5025Metric";1;"22K";;;
12;"J2,J1";"SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm";2;"Conn_01x02_Male";;;
13;"R7";"R_2010_5025Metric";1;"47K";;;
14;"D2,D1";"LED_2010_5025Metric";2;"LED";;;
15;"R4";"R_2010_5025Metric";1;"15K";;;
16;"Y1,Y2";"Crystal_SMD_0603-2Pin_6.0x3.5mm";2;"Crystal";;;
17;"R22,R21";"R_2010_5025Metric";2;"120";;;
18;"R6";"R_2010_5025Metric";1;"33K";;;
19;"R2";"R_2010_5025Metric";1;"4,7K";;;
20;"R11";"R_2010_5025Metric";1;"2,2K";;;
21;"R13,R14";"R_2010_5025Metric";2;"1K";;;
22;"SW1";"Panasonic_EVQPUJ_EVQPUA";1;"SW_Push";;;
23;"R9";"R_2010_5025Metric";1;"100K";;;
24;"KEY1";"PinHeader_1x01_P1.00mm_Vertical";1;"Key 1";;;
25;"R3,R40,R50,R30";"R_2010_5025Metric";4;"10K";;;
26;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74HC4051D";;;
27;"Mic1";"Molex_Panelmate_53780-0570_1x05-1MP_P1.25mm_Horizontal";1;"Connecteur Alpine";;;
28;"R12";"R_2010_5025Metric";1;"20K";;;
29;"CANB1,CANC1";"Altech_AK300_1x02_P5.00mm_45-Degree";2;"Screw_Terminal_01x02";;;
30;"Mic2";"Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal";1;"AudioJack Android HU";;;
31;"R10";"R_2010_5025Metric";1;"150K";;;
32;"R8";"R_2010_5025Metric";1;"68K";;;
