"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"J3";"PinSocket_1x08_P2.54mm_Vertical";1;"Power";;;
2;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"33k";;;
3;"R12,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100k";;;
4;"U1";"DIP-16_W7.62mm_Socket";1;"CD4051B";;;
5;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15k";;;
6;"J5";"PinSocket_1x10_P2.54mm_Vertical";1;"Digital/PWM";;;
7;"R8,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
8;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"Key1";;;
9;"R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22k";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"68k";;;
11;"C1";"C_Rect_L7.0mm_W2.0mm_P5.00mm";1;"100 nF";;;
12;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"20K";;;
13;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"4.7k";;;
14;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"Analog";;;
15;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
16;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"470";;;
17;"J6";"PinSocket_1x08_P2.54mm_Vertical";1;"Digital/PWM";;;
18;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Micro Android";;;
19;"Mic1";"PinHeader_1x03_P2.54mm_Vertical";1;"Micro Alpine";;;
20;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"GPIO";;;
